Data,Estado,Novos Casos,Casos Acumulados,Novos Óbitos,Óbitos Acumulados
2020-03-31,São Paulo,131958,131958,960,960
2020-04-30,São Paulo,113694,245652,3872,4832
2020-05-31,São Paulo,64886,310538,566,5398
2020-06-30,São Paulo,178266,488804,3544,8942
2020-07-31,São Paulo,185203,674007,3019,11961
2020-08-31,São Paulo,26023,700030,230,12191
2020-09-30,São Paulo,77221,777251,869,13060
2020-10-31,São Paulo,69735,846986,2533,15593
2020-11-30,São Paulo,15311,862297,1284,16877
2020-12-31,São Paulo,194779,1057076,3485,20362
2021-01-31,São Paulo,169765,1226841,4943,25305
2021-02-28,São Paulo,140608,1367449,574,25879
2021-03-31,São Paulo,166730,1534179,2658,28537
2021-04-30,São Paulo,132537,1666716,2147,30684
2021-05-31,São Paulo,140523,1807239,2847,33531
2021-06-30,São Paulo,133855,1941094,1906,35437
2021-07-31,São Paulo,75725,2016819,2834,38271
2021-08-31,São Paulo,176845,2193664,4758,43029
2021-09-30,São Paulo,77435,2271099,1367,44396
2021-10-31,São Paulo,41551,2312650,1628,46024
2021-11-30,São Paulo,21394,2334044,3656,49680
2021-12-31,São Paulo,13890,2347934,746,50426
2022-01-31,São Paulo,97313,2445247,2535,52961
2022-02-28,São Paulo,18792,2464039,2463,55424
2022-03-31,São Paulo,184073,2648112,2924,58348
2022-04-30,São Paulo,164969,2813081,2712,61060
2022-05-31,São Paulo,134243,2947324,1578,62638
2022-06-30,São Paulo,58555,3005879,2656,65294
2022-07-31,São Paulo,27159,3033038,4114,69408
2022-08-31,São Paulo,116530,3149568,3252,72660
2022-09-30,São Paulo,29457,3179025,1121,73781
2022-10-31,São Paulo,88953,3267978,3943,77724
2022-11-30,São Paulo,181829,3449807,1600,79324
2022-12-31,São Paulo,186830,3636637,261,79585
2020-03-31,Rio de Janeiro,47065,47065,2081,2081
2020-04-30,Rio de Janeiro,109299,156364,3442,5523
2020-05-31,Rio de Janeiro,50397,206761,3898,9421
2020-06-30,Rio de Janeiro,101387,308148,1116,10537
2020-07-31,Rio de Janeiro,65591,373739,437,10974
2020-08-31,Rio de Janeiro,92798,466537,1176,12150
2020-09-30,Rio de Janeiro,96807,563344,4093,16243
2020-10-31,Rio de Janeiro,180171,743515,479,16722
2020-11-30,Rio de Janeiro,48044,791559,2162,18884
2020-12-31,Rio de Janeiro,124752,916311,2668,21552
2021-01-31,Rio de Janeiro,130151,1046462,2127,23679
2021-02-28,Rio de Janeiro,143767,1190229,1595,25274
2021-03-31,Rio de Janeiro,189262,1379491,491,25765
2021-04-30,Rio de Janeiro,23986,1403477,4614,30379
2021-05-31,Rio de Janeiro,139312,1542789,4574,34953
2021-06-30,Rio de Janeiro,48660,1591449,3661,38614
2021-07-31,Rio de Janeiro,36854,1628303,3199,41813
2021-08-31,Rio de Janeiro,32662,1660965,300,42113
2021-09-30,Rio de Janeiro,40535,1701500,4975,47088
2021-10-31,Rio de Janeiro,123569,1825069,3204,50292
2021-11-30,Rio de Janeiro,99135,1924204,4698,54990
2021-12-31,Rio de Janeiro,45222,1969426,3745,58735
2022-01-31,Rio de Janeiro,133684,2103110,2831,61566
2022-02-28,Rio de Janeiro,20965,2124075,1670,63236
2022-03-31,Rio de Janeiro,123252,2247327,2790,66026
2022-04-30,Rio de Janeiro,194064,2441391,1128,67154
2022-05-31,Rio de Janeiro,108806,2550197,4593,71747
2022-06-30,Rio de Janeiro,100982,2651179,4588,76335
2022-07-31,Rio de Janeiro,141278,2792457,1584,77919
2022-08-31,Rio de Janeiro,60015,2852472,2890,80809
2022-09-30,Rio de Janeiro,132096,2984568,663,81472
2022-10-31,Rio de Janeiro,195340,3179908,4291,85763
2022-11-30,Rio de Janeiro,97939,3277847,1857,87620
2022-12-31,Rio de Janeiro,115878,3393725,1778,89398
2020-03-31,Minas Gerais,174899,174899,1822,1822
2020-04-30,Minas Gerais,103426,278325,3257,5079
2020-05-31,Minas Gerais,163371,441696,2725,7804
2020-06-30,Minas Gerais,119225,560921,1697,9501
2020-07-31,Minas Gerais,190152,751073,3160,12661
2020-08-31,Minas Gerais,12693,763766,4991,17652
2020-09-30,Minas Gerais,105259,869025,3727,21379
2020-10-31,Minas Gerais,35939,904964,2081,23460
2020-11-30,Minas Gerais,162906,1067870,1763,25223
2020-12-31,Minas Gerais,36105,1103975,2138,27361
2021-01-31,Minas Gerais,156779,1260754,3402,30763
2021-02-28,Minas Gerais,135117,1395871,1406,32169
2021-03-31,Minas Gerais,147848,1543719,2775,34944
2021-04-30,Minas Gerais,137948,1681667,1382,36326
2021-05-31,Minas Gerais,199125,1880792,4844,41170
2021-06-30,Minas Gerais,129101,2009893,3848,45018
2021-07-31,Minas Gerais,23545,2033438,4879,49897
2021-08-31,Minas Gerais,175838,2209276,3545,53442
2021-09-30,Minas Gerais,71087,2280363,1595,55037
2021-10-31,Minas Gerais,78840,2359203,3863,58900
2021-11-30,Minas Gerais,195456,2554659,1953,60853
2021-12-31,Minas Gerais,187648,2742307,4759,65612
2022-01-31,Minas Gerais,62733,2805040,3557,69169
2022-02-28,Minas Gerais,164736,2969776,1736,70905
2022-03-31,Minas Gerais,103264,3073040,798,71703
2022-04-30,Minas Gerais,36736,3109776,4197,75900
2022-05-31,Minas Gerais,122859,3232635,954,76854
2022-06-30,Minas Gerais,100084,3332719,3574,80428
2022-07-31,Minas Gerais,187789,3520508,1807,82235
2022-08-31,Minas Gerais,135657,3656165,1833,84068
2022-09-30,Minas Gerais,80467,3736632,3610,87678
2022-10-31,Minas Gerais,108506,3845138,3355,91033
2022-11-30,Minas Gerais,128906,3974044,4596,95629
2022-12-31,Minas Gerais,35342,4009386,4489,100118
2020-03-31,Bahia,116308,116308,3031,3031
2020-04-30,Bahia,116081,232389,297,3328
2020-05-31,Bahia,99045,331434,2030,5358
2020-06-30,Bahia,120078,451512,708,6066
2020-07-31,Bahia,103384,554896,1247,7313
2020-08-31,Bahia,96202,651098,3497,10810
2020-09-30,Bahia,61663,712761,1894,12704
2020-10-31,Bahia,59811,772572,2911,15615
2020-11-30,Bahia,66250,838822,1469,17084
2020-12-31,Bahia,44754,883576,246,17330
2021-01-31,Bahia,152483,1036059,3011,20341
2021-02-28,Bahia,149752,1185811,3076,23417
2021-03-31,Bahia,81295,1267106,2485,25902
2021-04-30,Bahia,21111,1288217,4836,30738
2021-05-31,Bahia,142874,1431091,4161,34899
2021-06-30,Bahia,40306,1471397,362,35261
2021-07-31,Bahia,56843,1528240,723,35984
2021-08-31,Bahia,117512,1645752,3743,39727
2021-09-30,Bahia,121472,1767224,2149,41876
2021-10-31,Bahia,172688,1939912,3823,45699
2021-11-30,Bahia,30932,1970844,3208,48907
2021-12-31,Bahia,39855,2010699,4190,53097
2022-01-31,Bahia,184088,2194787,3270,56367
2022-02-28,Bahia,183714,2378501,2355,58722
2022-03-31,Bahia,76690,2455191,4599,63321
2022-04-30,Bahia,16295,2471486,3291,66612
2022-05-31,Bahia,69040,2540526,4091,70703
2022-06-30,Bahia,170371,2710897,4782,75485
2022-07-31,Bahia,126336,2837233,1545,77030
2022-08-31,Bahia,194423,3031656,4023,81053
2022-09-30,Bahia,189426,3221082,3283,84336
2022-10-31,Bahia,143629,3364711,198,84534
2022-11-30,Bahia,143272,3507983,3061,87595
2022-12-31,Bahia,188047,3696030,4533,92128
2020-03-31,Paraná,87505,87505,2969,2969
2020-04-30,Paraná,60108,147613,4167,7136
2020-05-31,Paraná,100272,247885,4593,11729
